car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,YES,1.6,0.6,0.65,0.65
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK31,BLK 302/348 ANG MO KIO STREET 31,29482.029,38684.1754,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK52,BLK 513 ANG MO KIO STREET 53,29889.3457,39382.8134,COUPON PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AM14,BLK 227 ANG MO KIO STREET 23,28777.0707,38973.9528,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM18,BLK 308C ANG MO KIO AVENUE 1,29257.6457,38619.9953,ELECTRONIC PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
AM19,BLK 260 ANG MO KIO STREET 21,28134.9305,38989.9965,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM20,BLK 309B ANG MO KIO STREET 31,29421.1502,38526.8611,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM32,BLK 255A ANG MO KIO STREET 21,28117.7689,39172.0389,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM43,BLK 455 ANG MO KIO STREET 44,30669.2379,38959.5487,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AM51,BLK 700 ANG MO KIO AVENUE 6,29489.025,39103.7605,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM64,BLK 590 ANG MO KIO STREET 51,30201.236,39274.274,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM79,BLK 596 ANG MO KIO STREET 52,30004.2224,39370.6063,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM80,BLK 130A ANG MO KIO STREET 12,28950.7223,39184.6976,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM81,BLK 132A ANG MO KIO STREET 12,28960.3285,39294.4158,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,ELECTRONIC PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,24941.5778,29704.4978,COUPON PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
A12,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
